id,name,finalVote,delegates
3,Joe Biden,"68,396",11
1,Bernie Sanders,"65,894",9
4,Elizabeth Warren,"31,514",4
27,Michael Bloomberg,"24,131",0
2,Pete Buttigieg,"4,180",0
5,Amy Klobuchar,"2,744",0
10,Tulsi Gabbard,"1,841",0
6,Andrew Yang,670,0
7,Tom Steyer,322,0
11,Deval Patrick,267,0
15,Marianne Williamson,200,0
12,Cory Booker,199,0
