id,name,finalVote,delegates
3,Joe Biden,"287,464",38
1,Bernie Sanders,"222,530",27
4,Elizabeth Warren,"114,754",10
27,Michael Bloomberg,"62,064",0
5,Amy Klobuchar,"41,508",0
2,Pete Buttigieg,"7,627",0
10,Tulsi Gabbard,"2,507",0
6,Andrew Yang,"1,755",0
7,Tom Steyer,561,0
8,Michael Bennet,316,0
15,Marianne Williamson,230,0
12,Cory Booker,204,0
17,John Delaney,175,0
18,Julian Castro,116,0
11,Deval Patrick,74,0
0,Uncommitted,"2,613",0
