id,name,finalVote,delegates
3,Joe Biden,"215,005",33
1,Bernie Sanders,"128,688",18
27,Michael Bloomberg,"79,638",10
4,Elizabeth Warren,"53,555",1
2,Pete Buttigieg,"17,051",0
5,Amy Klobuchar,"10,645",0
10,Tulsi Gabbard,"2,292",0
7,Tom Steyer,"1,980",0
8,Michael Bennet,"1,882",0
6,Andrew Yang,"1,097",0
12,Cory Booker,978,0
15,Marianne Williamson,498,0
17,John Delaney,379,0
11,Deval Patrick,326,0
18,Julian Castro,239,0
0,Uncommitted,"1,187",0
