id,name,finalVote,delegates
3,Joe Biden,"256,047",35
1,Bernie Sanders,"105,197",13
7,Tom Steyer,"59,893",0
2,Pete Buttigieg,"43,606",0
4,Elizabeth Warren,"37,346",0
5,Amy Klobuchar,"16,677",0
10,Tulsi Gabbard,"6,754",0
6,Andrew Yang,"1,045",0
8,Michael Bennet,753,0
12,Cory Booker,643,0
17,John Delaney,345,0
11,Deval Patrick,275,0
