id,name,finalVote,delegates
3,Joe Biden,"705,800",66
1,Bernie Sanders,"306,024",31
4,Elizabeth Warren,"142,470",2
27,Michael Bloomberg,"129,784",0
10,Tulsi Gabbard,"11,279",0
2,Pete Buttigieg,"11,190",0
5,Amy Klobuchar,"8,413",0
6,Andrew Yang,"3,364",0
12,Cory Booker,"1,957",0
8,Michael Bennet,"1,731",0
7,Tom Steyer,"1,587",0
18,Julian Castro,933,0
15,Marianne Williamson,925,0
11,Deval Patrick,381,0
