id,name,finalVote,delegates
3,Joe Biden,"117,552",21
1,Bernie Sanders,"77,302",13
27,Michael Bloomberg,"42,243",3
4,Elizabeth Warren,"40,676",0
5,Amy Klobuchar,"6,728",0
2,Pete Buttigieg,"5,113",0
10,Tulsi Gabbard,"5,106",0
7,Tom Steyer,"2,006",0
6,Andrew Yang,"1,993",0
12,Cory Booker,"1,529",0
8,Michael Bennet,"1,272",0
15,Marianne Williamson,"1,158",0
11,Deval Patrick,679,0
18,Julian Castro,620,0
