id,name,finalVote,delegates
1,Bernie Sanders,"80,121",11
3,Joe Biden,"34,734",5
4,Elizabeth Warren,"19,816",0
27,Michael Bloomberg,"14,843",0
2,Pete Buttigieg,"3,714",0
5,Amy Klobuchar,"2,023",0
10,Tulsi Gabbard,"1,298",0
6,Andrew Yang,589,0
7,Tom Steyer,205,0
15,Marianne Williamson,144,0
11,Deval Patrick,140,0
29,Mark Greenstein,107,0
18,Julian Castro,52,0
